instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_INDEX|Nifty 50,17,,Nifty 50,21995.85,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 EQL Wgt,,,NIFTY100 EQL Wgt,29240.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY50 EQL Wgt,,,NIFTY50 EQL Wgt,27648.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NiftyM150Momntm50,,,NiftyM150Momntm50,54049.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Auto,48,,Nifty Auto,21520.75,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Commodities,5,,Nifty Commodities,8521.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Mid Liq 15,31,,Nifty Mid Liq 15,10984.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 10Yr Cln,24,,Nifty GS 10Yr Cln,870.91,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY TOTAL MKT,,,NIFTY TOTAL MKT,11422.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Serv Sector,30,,Nifty Serv Sector,27651.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty100 Liq 15,21,,Nifty100 Liq 15,6309.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Bank,28,,Nifty Bank,47069.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Next 50,20,,Nifty Next 50,61989.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY AlphaLowVol,,,NIFTY AlphaLowVol,25653.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Energy,11,,Nifty Energy,39359.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Div Opps 50,25,,Nifty Div Opps 50,5720.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 50,,,NIFTY SMLCAP 50,7596.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty PSE,16,,Nifty PSE,9468.85,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY M150 QLTY50,,,NIFTY M150 QLTY50,20672.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 LowVol30,,,NIFTY100 LowVol30,17564.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty200Momentm30,,,Nifty200Momentm30,30882.85,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty100ESGSecLdr,,,Nifty100ESGSecLdr,3643.8,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 10Yr,12,,Nifty GS 10Yr,2280.83,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY Alpha 50,,,NIFTY Alpha 50,48039.3,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 500,7,,Nifty 500,20324.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Realty,18,,Nifty Realty,932.75,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY INDIA MFG,,,NIFTY INDIA MFG,12462.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY200 QUALTY30,,,NIFTY200 QUALTY30,18398.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GrowSect 15,35,,Nifty GrowSect 15,10567.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 ESG,,,NIFTY100 ESG,4299.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 8 13Yr,45,,Nifty GS 8 13Yr,2576.71,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Infra,36,,Nifty Infra,8324.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 250,,,NIFTY SMLCAP 250,15180.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 PR 1x Inv,6,,Nifty50 PR 1x Inv,220.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 100,,,NIFTY MIDCAP 100,48995.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty FinSrv25 50,,,Nifty FinSrv25 50,22542.9,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY CONSR DURBL,,,NIFTY CONSR DURBL,32595,,,,,INDEX,,NSE_INDEX
NSE_INDEX|India VIX,43,,India VIX,13.04,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Pharma,47,,Nifty Pharma,18525.75,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 150,,,NIFTY MIDCAP 150,18195.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 TR 1x Inv,14,,Nifty50 TR 1x Inv,184.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty PSU Bank,3,,Nifty PSU Bank,6953.35,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY HEALTHCARE,,,NIFTY HEALTHCARE,11672.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY500 MULTICAP,,,NIFTY500 MULTICAP,14084.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty IT,26,,Nifty IT,33498.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDSML 400,,,NIFTY MIDSML 400,17153.8,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Media,39,,Nifty Media,1889.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 100,27,,Nifty 100,22740.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 Qualty30,,,NIFTY100 Qualty30,5061.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY LARGEMID250,,,NIFTY LARGEMID250,14035.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 100,,,NIFTY SMLCAP 100,16286.35,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Midcap 50,33,,Nifty Midcap 50,13687.05,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MICROCAP250,,,NIFTY MICROCAP250,20058.35,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 PR 2x Lev,32,,Nifty50 PR 2x Lev,11887.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty200 Alpha 30,,,Nifty200 Alpha 30,23289.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Fin Service,15,,Nifty Fin Service,20899.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty FMCG,23,,Nifty FMCG,52825.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 Value 20,19,,Nifty50 Value 20,11963.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 TR 2x Lev,44,,Nifty50 TR 2x Lev,17010.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 Div Point,41,,Nifty50 Div Point,0,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty MNC,46,,Nifty MNC,26234.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Consumption,10,,Nifty Consumption,10067.3,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Pvt Bank,9,,Nifty Pvt Bank,23534.75,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty CPSE,8,,Nifty CPSE,5984.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 11 15Yr,1,,Nifty GS 11 15Yr,2842.98,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Metal,38,,Nifty Metal,8824.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 15YrPlus,42,,Nifty GS 15YrPlus,3117.87,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 200,37,,Nifty 200,12282.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MID SELECT,,,NIFTY MID SELECT,10746.1,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS Compsite,2,,Nifty GS Compsite,2662.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 4 8Yr,13,,Nifty GS 4 8Yr,2794.77,,,,,INDEX,,NSE_INDEX
