upstox_id,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,id,market_cap
NSE_EQ|INE144J01027,EQUITY,NSE_EQ,20MICRONS,20 Microns Limited,2008-10-06,INE144J01027,5e8520a8-c95c-4924-8209-3c3169b5c9d0,0
NSE_EQ|INE253B01015,EQUITY,NSE_EQ,21STCENMGM,21st Century Management Services Limited,1995-05-03,INE253B01015,b9de69a1-1548-495b-a69c-58bd46294878,0
NSE_EQ|INE466L01038,EQUITY,NSE_EQ,360ONE,360 ONE WAM LIMITED,2019-09-19,INE466L01038,e5e47c8c-9d2d-4364-8fe8-2325e2d505c1,0
NSE_EQ|INE748C01038,EQUITY,NSE_EQ,3IINFOLTD,3i Infotech Limited,2021-10-22,INE748C01038,337ff565-9778-4263-8e15-f2cd11f2cca0,0
NSE_EQ|INE470A01017,EQUITY,NSE_EQ,3MINDIA,3M India Limited,2004-08-13,INE470A01017,23943793-e825-47f8-9311-775ae9ba26e3,0
NSE_EQ|INE105C01023,EQUITY,NSE_EQ,3PLAND,3P Land Holdings Limited,1995-07-19,INE105C01023,c80c26a7-a8ee-4093-9aaf-d2fd4a3fc9e0,0
NSE_EQ|INE618L01018,EQUITY,NSE_EQ,5PAISA,5Paisa Capital Limited,2017-11-16,INE618L01018,49ff2be5-cf42-4976-a97f-42dd9ee53a29,0
NSE_EQ|INE111B01023,EQUITY,NSE_EQ,63MOONS,63 moons technologies limited,2005-06-20,INE111B01023,bcd298bf-4500-4c69-84f0-70718d9bcfec,0
NSE_EQ|INE619I01012,EQUITY,NSE_EQ,A2ZINFRA,A2Z Infra Engineering Limited,2010-12-23,INE619I01012,e9f2603c-ddcb-469b-8328-827b6b3cd946,0
NSE_EQ|INE0D0U01013,EQUITY,NSE_EQ,AAATECH,AAA Technologies Limited,2022-11-28,INE0D0U01013,101ab42b-19ec-433a-98d2-15d60836ac9b,0
