upstox_id,tradingsymbol,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,face_value
NSE_EQ|INE144J01027,20MICRONS,EQUITY,NSE_EQ,20MICRONS,20 Microns Limited,06-OCT-2008,INE144J01027,5
NSE_EQ|INE253B01015,21STCENMGM,EQUITY,NSE_EQ,21STCENMGM,21st Century Management Services Limited,03-MAY-1995,INE253B01015,10
NSE_EQ|INE466L01038,360ONE,EQUITY,NSE_EQ,360ONE,360 ONE WAM LIMITED,19-SEP-2019,INE466L01038,1
NSE_EQ|INE748C01038,3IINFOLTD,EQUITY,NSE_EQ,3IINFOLTD,3i Infotech Limited,22-OCT-2021,INE748C01038,10
NSE_EQ|INE470A01017,3MINDIA,EQUITY,NSE_EQ,3MINDIA,3M India Limited,13-AUG-2004,INE470A01017,10
NSE_EQ|INE105C01023,3PLAND,EQUITY,NSE_EQ,3PLAND,3P Land Holdings Limited,19-JUL-1995,INE105C01023,2
NSE_EQ|INE618L01018,5PAISA,EQUITY,NSE_EQ,5PAISA,5Paisa Capital Limited,16-NOV-2017,INE618L01018,10
NSE_EQ|INE111B01023,63MOONS,EQUITY,NSE_EQ,63MOONS,63 moons technologies limited,20-JUN-2005,INE111B01023,2
NSE_EQ|INE619I01012,A2ZINFRA,EQUITY,NSE_EQ,A2ZINFRA,A2Z Infra Engineering Limited,23-DEC-2010,INE619I01012,10
NSE_EQ|INE0D0U01013,AAATECH,EQUITY,NSE_EQ,AAATECH,AAA Technologies Limited,28-NOV-2022,INE0D0U01013,10
NSE_EQ|INE883F01010,AADHARHFC,EQUITY,NSE_EQ,AADHARHFC,Aadhar Housing Finance Limited,15-MAY-2024,INE883F01010,10
NSE_EQ|INE087Z01024,AAKASH,EQUITY,NSE_EQ,AAKASH,Aakash Exploration Services Limited,29-SEP-2020,INE087Z01024,1
NSE_EQ|INE198H01019,AAREYDRUGS,EQUITY,NSE_EQ,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,06-AUG-2021,INE198H01019,10
NSE_EQ|INE721Z01010,AARON,EQUITY,NSE_EQ,AARON,Aaron Industries Limited,06-NOV-2020,INE721Z01010,10
NSE_EQ|INE01C001018,AARTECH,EQUITY,NSE_EQ,AARTECH,Aartech Solonics Limited,10-JUL-2023,INE01C001018,10
NSE_EQ|INE767A01016,AARTIDRUGS,EQUITY,NSE_EQ,AARTIDRUGS,Aarti Drugs Limited,19-SEP-2003,INE767A01016,10
NSE_EQ|INE769A01020,AARTIIND,EQUITY,NSE_EQ,AARTIIND,Aarti Industries Limited,08-FEB-1995,INE769A01020,5
NSE_EQ|INE0LRU01027,AARTIPHARM,EQUITY,NSE_EQ,AARTIPHARM,Aarti Pharmalabs Limited,30-JAN-2023,INE0LRU01027,5
NSE_EQ|INE09EO01013,AARTISURF,EQUITY,NSE_EQ,AARTISURF,Aarti Surfactants Limited,14-JUL-2020,INE09EO01013,10
NSE_EQ|INE09EO04017,AARTISURF,EQUITY,NSE_EQ,AARTISURF,Aarti Surfactants Limited,14-JUL-2020,INE09EO01013,10
NSE_EQ|INE273D01019,AARVEEDEN,EQUITY,NSE_EQ,AARVEEDEN,Aarvee Denims & Exports Limited,21-NOV-2006,INE273D01019,10
NSE_EQ|INE754X01016,AARVI,EQUITY,NSE_EQ,AARVI,Aarvi Encon Limited,24-JUN-2020,INE754X01016,10
NSE_EQ|INE216P01012,AAVAS,EQUITY,NSE_EQ,AAVAS,Aavas Financiers Limited,08-OCT-2018,INE216P01012,10
NSE_EQ|INE421A01028,ABAN,EQUITY,NSE_EQ,ABAN,Aban Offshore Limited,29-MAR-1995,INE421A01028,2
NSE_EQ|INE117A01022,ABB,EQUITY,NSE_EQ,ABB,ABB India Limited,08-FEB-1995,INE117A01022,2
NSE_EQ|INE358A01014,ABBOTINDIA,EQUITY,NSE_EQ,ABBOTINDIA,Abbott India Limited,08-JAN-2010,INE358A01014,10
NSE_EQ|INE674K01013,ABCAPITAL,EQUITY,NSE_EQ,ABCAPITAL,Aditya Birla Capital Limited,01-SEP-2017,INE674K01013,10
NSE_EQ|INE647O01011,ABFRL,EQUITY,NSE_EQ,ABFRL,Aditya Birla Fashion and Retail Limited,17-JUL-2013,INE647O01011,10
NSE_EQ|INE251C01025,ABMINTLLTD,EQUITY,NSE_EQ,ABMINTLLTD,ABM International Limited,09-SEP-2021,INE251C01025,10
NSE_EQ|INE404A01024,ABSLAMC,EQUITY,NSE_EQ,ABSLAMC,Aditya Birla Sun Life AMC Limited,11-OCT-2021,INE404A01024,5
